id,customer_id,created_at,status,amount_cents
9001,101,2025-04-02 09:14:00,completed,12999
9002,102,2025-04-02 14:22:00,completed,8499
9003,103,2025-04-03 10:05:00,completed,4599
9004,104,2025-04-03 16:40:00,cancelled,15999
9005,105,2025-04-04 08:30:00,completed,2999
9006,106,2025-04-04 11:12:00,completed,6799
9007,107,2025-04-05 13:55:00,pending,8999
9008,108,2025-04-05 19:21:00,completed,11499
9009,109,2025-04-06 07:48:00,completed,3499
9010,110,2025-04-06 12:33:00,completed,15999
9011,101,2025-04-07 15:10:00,completed,4599
9012,111,2025-04-07 20:02:00,completed,8999
9013,112,2025-04-08 09:45:00,cancelled,6799
9014,113,2025-04-08 17:19:00,completed,2999
9015,114,2025-04-09 10:55:00,completed,11499
9016,115,2025-04-09 14:38:00,completed,3499
9017,116,2025-04-10 08:12:00,completed,8499
9018,117,2025-04-10 18:27:00,pending,4599
9019,118,2025-04-11 11:03:00,completed,12999
9020,119,2025-04-11 16:48:00,completed,6799
9021,120,2025-04-12 09:30:00,completed,2999
9022,102,2025-04-12 13:15:00,completed,8999
9023,103,2025-04-13 10:40:00,completed,11499
9024,109,2025-04-13 19:05:00,completed,3499
9025,113,2025-04-14 12:22:00,completed,15999
